INFO:tensorflow:loss = 0.498501, 18801, 0.890625 ,29.638 sec)
INFO:tensorflow:loss = 0.419513, 18901, 0.921875 ,28.910 sec)
INFO:tensorflow:loss = 0.437329, 19001, 0.9375 ,29.471 sec)
INFO:tensorflow:loss = 0.478231, 19101, 0.914062 ,28.964 sec)
INFO:tensorflow:loss = 0.386975, 19201, 0.9375 ,28.946 sec)
INFO:tensorflow:loss = 0.507331, 19301, 0.890625 ,29.299 sec)
INFO:tensorflow:loss = 0.37711, 19401, 0.953125 ,28.862 sec)
INFO:tensorflow:loss = 0.452005, 19501, 0.945312 ,29.494 sec)
INFO:tensorflow:loss = 0.444005, 19601, 0.890625 ,28.896 sec)
INFO:tensorflow:loss = 0.55565, 19701, 0.882812 ,29.154 sec)
INFO:tensorflow:loss = 0.477448, 19801, 0.929688 ,29.025 sec)
INFO:tensorflow:loss = 0.424929, 19901, 0.945312 ,28.900 sec)
INFO:tensorflow:loss = 0.431413, 20001, 0.9375 ,29.338 sec)
INFO:tensorflow:loss = 0.497447, 20101, 0.898438 ,28.953 sec)
INFO:tensorflow:loss = 0.39294, 20201, 0.929688 ,29.572 sec)
INFO:tensorflow:loss = 0.404708, 20301, 0.929688 ,28.807 sec)
INFO:tensorflow:loss = 0.487811, 20401, 0.9375 ,28.941 sec)
INFO:tensorflow:loss = 0.425463, 20501, 0.929688 ,29.325 sec)
INFO:tensorflow:loss = 0.467837, 20601, 0.921875 ,29.665 sec)
INFO:tensorflow:loss = 0.380947, 20701, 0.9375 ,29.228 sec)
INFO:tensorflow:loss = 0.38347, 20801, 0.9375 ,28.914 sec)
INFO:tensorflow:loss = 0.513274, 20901, 0.914062 ,29.294 sec)
INFO:tensorflow:loss = 0.51709, 21001, 0.890625 ,29.098 sec)
INFO:tensorflow:loss = 0.317195, 21101, 0.96875 ,28.984 sec)
INFO:tensorflow:loss = 0.426707, 21201, 0.921875 ,29.062 sec)
INFO:tensorflow:loss = 0.446908, 21301, 0.945312 ,28.872 sec)
INFO:tensorflow:loss = 0.47847, 21401, 0.921875 ,29.213 sec)
INFO:tensorflow:loss = 0.329961, 21501, 0.96875 ,28.941 sec)
INFO:tensorflow:loss = 0.469066, 21601, 0.914062 ,28.891 sec)
INFO:tensorflow:loss = 0.593737, 21701, 0.90625 ,29.372 sec)
INFO:tensorflow:loss = 0.436236, 21801, 0.929688 ,28.813 sec)
INFO:tensorflow:loss = 0.367733, 21901, 0.945312 ,29.207 sec)
INFO:tensorflow:loss = 0.554352, 22001, 0.914062 ,28.872 sec)
INFO:tensorflow:loss = 0.40736, 22101, 0.945312 ,29.159 sec)
INFO:tensorflow:loss = 0.488119, 22201, 0.914062 ,29.189 sec)
INFO:tensorflow:loss = 0.390173, 22301, 0.945312 ,28.847 sec)
INFO:tensorflow:loss = 0.438677, 22401, 0.9375 ,29.599 sec)
INFO:tensorflow:loss = 0.508299, 22501, 0.90625 ,28.916 sec)
INFO:tensorflow:loss = 0.466062, 22601, 0.882812 ,29.274 sec)
INFO:tensorflow:loss = 0.330791, 22701, 0.96875 ,29.693 sec)
INFO:tensorflow:loss = 0.425095, 22801, 0.921875 ,28.871 sec)
INFO:tensorflow:loss = 0.512603, 22901, 0.898438 ,29.330 sec)
INFO:tensorflow:loss = 0.49815, 23001, 0.890625 ,28.884 sec)
INFO:tensorflow:loss = 0.409279, 23101, 0.96875 ,29.347 sec)
INFO:tensorflow:loss = 0.436895, 23201, 0.9375 ,28.851 sec)
INFO:tensorflow:loss = 0.379008, 23301, 0.960938 ,29.151 sec)
INFO:tensorflow:loss = 0.453654, 23401, 0.9375 ,29.100 sec)
INFO:tensorflow:loss = 0.457809, 23501, 0.929688 ,28.917 sec)
INFO:tensorflow:loss = 0.551149, 23601, 0.90625 ,29.482 sec)
INFO:tensorflow:loss = 0.425063, 23701, 0.914062 ,28.781 sec)
INFO:tensorflow:loss = 0.442034, 23801, 0.898438 ,29.311 sec)
INFO:tensorflow:loss = 0.449238, 23901, 0.914062 ,28.925 sec)
INFO:tensorflow:loss = 0.548511, 24001, 0.882812 ,28.983 sec)
INFO:tensorflow:loss = 0.493657, 24101, 0.90625 ,29.590 sec)
INFO:tensorflow:loss = 0.503314, 24201, 0.914062 ,28.891 sec)
INFO:tensorflow:loss = 0.384476, 24301, 0.945312 ,29.324 sec)
INFO:tensorflow:loss = 0.442499, 24401, 0.914062 ,28.933 sec)
INFO:tensorflow:loss = 0.479672, 24501, 0.929688 ,29.247 sec)
INFO:tensorflow:loss = 0.492826, 24601, 0.90625 ,29.056 sec)
